Price,Close,High,Low,Open,Volume
Ticker,ZEC-USD,ZEC-USD,ZEC-USD,ZEC-USD,ZEC-USD
Date,,,,,
2021-09-08,135.311767578125,139.04312133789062,121.05216979980469,135.77267456054688,494110377
2021-09-09,137.4116973876953,143.19952392578125,132.03407287597656,132.80880737304688,352621690
2021-09-10,128.1282958984375,142.49862670898438,125.1801986694336,137.5030517578125,272672241
2021-09-11,128.51393127441406,133.9575653076172,126.9650650024414,128.1387176513672,214059228
2021-09-12,131.3738250732422,133.706298828125,126.28180694580078,128.59742736816406,188879934
2021-09-13,127.48094940185547,132.4081268310547,121.28276824951172,131.37680053710938,296315915
2021-09-14,133.56101989746094,133.74449157714844,126.55171203613281,127.8321762084961,227892978
2021-09-15,139.9447479248047,140.0423583984375,130.92782592773438,133.6389923095703,219270508
2021-09-16,137.9544219970703,146.25389099121094,133.9156494140625,139.8740234375,305790356
2021-09-17,134.11343383789062,139.9562530517578,132.61819458007812,137.96701049804688,209461188
2021-09-18,138.62548828125,143.60610961914062,132.72935485839844,134.29556274414062,217128960
2021-09-19,133.56637573242188,141.1216583251953,132.29080200195312,138.54006958007812,181104307
2021-09-20,118.1382064819336,133.82369995117188,115.8564682006836,133.65048217773438,345837019
2021-09-21,111.48458862304688,120.79735565185547,108.59564971923828,118.9652099609375,274139977
2021-09-22,121.47588348388672,121.7786636352539,110.62628936767578,111.40541076660156,187780348
2021-09-23,122.56192779541016,123.52718353271484,118.42333221435547,121.29563903808594,165914466
2021-09-24,110.69074249267578,123.33372497558594,105.45564270019531,122.65834045410156,269494087
2021-09-25,110.64595794677734,112.86797332763672,107.32723236083984,110.68571472167969,189117992
2021-09-26,111.17036437988281,112.9478530883789,102.028076171875,110.83261108398438,246532591
2021-09-27,104.6549072265625,113.77386474609375,104.6549072265625,111.36832427978516,202788738
2021-09-28,100.72521209716797,107.62373352050781,100.25933837890625,104.57147216796875,182406155
2021-09-29,103.63488006591797,108.30111694335938,100.44950103759766,100.81366729736328,195296370
2021-09-30,107.0044937133789,107.96881866455078,103.07342529296875,103.72017669677734,183816871
2021-10-01,114.81404876708984,115.02115631103516,106.47628784179688,107.0930404663086,246444688
2021-10-02,114.44161224365234,117.36527252197266,112.03203582763672,114.90921783447266,165864720
2021-10-03,118.734130859375,119.30180358886719,112.57365417480469,114.33708953857422,170239384
2021-10-04,116.68740844726562,118.98844909667969,113.17671203613281,118.73058319091797,184585795
